Model,Üretim Yılı,Motor Sayısı,Motor Türü,Kapasite,Menzil (km),Yakıt Tüketimi (L/saat),Saatlik Bakım Maliyeti ($),Yaş,Satış Bölgesi,Fiyat ($)
Airbus A350,1980,2,Turbofan,350,14800,2.25,3138.96,43,Kuzey Amerika,314181800.61
Airbus A350,2020,2,Turbofan,350,14800,2.8,1447.55,3,Avrupa,834629014.75
Airbus A350,2005,2,Turbofan,350,14800,6.33,1218.84,18,Asya,520059271.14
Airbus A320,1992,2,Turbofan,180,6300,12.66,1984.12,31,Kuzey Amerika,80059243.75
Boeing 737,2003,2,Turbofan,162,5700,12.78,4023.21,20,Güney Amerika,65720593.28
Boeing 777,1981,2,Turbofan,396,15600,5.89,3499.55,42,Asya,419636428.22
Boeing 777,1992,2,Turbofan,396,15600,2.88,3670.11,31,Avustralya,427002743.44
Boeing 737,1984,2,Turbofan,162,5700,11.04,694.69,39,Afrika,64541734.11
Airbus A320,2023,2,Turbofan,180,6300,10.81,1870.64,0,Avustralya,176412887.88
Bombardier CRJ200,1985,2,Turbofan,50,3000,10.78,3703.87,38,Afrika,11892452.96
Airbus A350,1986,2,Turbofan,350,14800,13.81,678.46,37,Kuzey Amerika,391246824.61
Airbus A350,1983,2,Turbofan,350,14800,11.07,1222.25,40,Kuzey Amerika,358095637.19
Cessna 172,2008,1,Piston,4,1285,23.28,4236.87,15,Güney Amerika,321644.85
Boeing 737,2003,2,Turbofan,162,5700,2.91,4074.16,20,Avrupa,86089253.07
Airbus A320,1996,2,Turbofan,180,6300,10.93,2711.42,27,Kuzey Amerika,87322759.77
Boeing 737,1993,2,Turbofan,162,5700,11.54,4654.33,30,Avrupa,63076441.43
Cessna 172,2000,1,Piston,4,1285,20.55,2877.31,23,Kuzey Amerika,243310.87
Airbus A350,2016,2,Turbofan,350,14800,2.72,4935.21,7,Kuzey Amerika,552175488.5
Boeing 737,2004,2,Turbofan,162,5700,13.93,2239.3,19,Kuzey Amerika,71115170.75
Bombardier CRJ200,2003,2,Turbofan,50,3000,13.92,2156.17,20,Avrupa,16093182.75
Boeing 737,2023,2,Turbofan,162,5700,6.05,2847.88,0,Kuzey Amerika,123885050.83
Bombardier CRJ200,2009,2,Turbofan,50,3000,7.52,2522.07,14,Güney Amerika,15852732.58
Boeing 737,2000,2,Turbofan,162,5700,6.37,1339.04,23,Avustralya,61630014.64
Airbus A350,1987,2,Turbofan,350,14800,7.03,3309.83,36,Güney Amerika,347068059.6
Bombardier CRJ200,1985,2,Turbofan,50,3000,7.1,1238.5,38,Avustralya,9381348.06
Cessna 172,2020,1,Piston,4,1285,18.7,3770.75,3,Güney Amerika,383753.51
Cessna 172,2005,1,Piston,4,1285,34.95,4183.92,18,Afrika,242009.92
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.76,4809.11,24,Avustralya,13232204.06
Airbus A350,2017,2,Turbofan,350,14800,3.74,2820.07,6,Avrupa,494501176.75
Airbus A350,2001,2,Turbofan,350,14800,2.61,1061.68,22,Afrika,406807329.65
Boeing 737,2015,2,Turbofan,162,5700,13.41,904.38,8,Avrupa,103123181.07
Airbus A320,2000,2,Turbofan,180,6300,5.4,4814.19,23,Avustralya,76312675.82
Cessna 172,2011,1,Piston,4,1285,37.3,2761.09,12,Kuzey Amerika,279169.08
Bombardier CRJ200,2022,2,Turbofan,50,3000,14.36,2769.76,1,Güney Amerika,23776693.47
Airbus A350,2005,2,Turbofan,350,14800,6.91,2005.17,18,Güney Amerika,473605488.58
Boeing 737,2003,2,Turbofan,162,5700,14.08,3689.73,20,Avustralya,83296835.73
Airbus A350,1983,2,Turbofan,350,14800,6.17,3878.51,40,Avrupa,399695196.92
Airbus A320,2010,2,Turbofan,180,6300,12.2,3906.19,13,Afrika,142060413.58
Bombardier CRJ200,1985,2,Turbofan,50,3000,12.62,3918.74,38,Güney Amerika,14543080.21
Boeing 777,1995,2,Turbofan,396,15600,12.42,2017.38,28,Asya,374925482.79
Bombardier CRJ200,1986,2,Turbofan,50,3000,4.42,3726.28,37,Güney Amerika,12888156.35
Airbus A320,1990,2,Turbofan,180,6300,9.47,918.72,33,Asya,78563542.17
Cessna 172,2003,1,Piston,4,1285,43.74,4374.03,20,Afrika,289909.41
Airbus A350,1995,2,Turbofan,350,14800,12.0,4438.79,28,Avrupa,359998763.56
Airbus A320,1989,2,Turbofan,180,6300,5.15,1867.34,34,Avustralya,81105525.34
Bombardier CRJ200,2018,2,Turbofan,50,3000,4.0,3840.93,5,Avustralya,22083266.05
Airbus A350,1993,2,Turbofan,350,14800,13.38,3676.47,30,Avustralya,367314071.25
Airbus A320,1993,2,Turbofan,180,6300,7.19,1127.1,30,Güney Amerika,71937542.16
Airbus A350,1998,2,Turbofan,350,14800,9.36,914.99,25,Kuzey Amerika,317704763.37
Boeing 737,1991,2,Turbofan,162,5700,2.6,2224.28,32,Güney Amerika,70084889.77
Airbus A320,2000,2,Turbofan,180,6300,8.31,4255.12,23,Avrupa,92490046.64
Airbus A320,2005,2,Turbofan,180,6300,13.88,4858.96,18,Afrika,80117652.52
Airbus A350,2019,2,Turbofan,350,14800,11.24,513.65,4,Güney Amerika,813663674.01
Bombardier CRJ200,1991,2,Turbofan,50,3000,14.19,3042.3,32,Kuzey Amerika,10998683.19
Airbus A320,2008,2,Turbofan,180,6300,12.22,4085.92,15,Afrika,104899363.64
Airbus A320,2019,2,Turbofan,180,6300,11.94,1451.52,4,Avustralya,130777051.08
Airbus A320,1994,2,Turbofan,180,6300,14.1,2758.03,29,Avustralya,79890494.89
Cessna 172,2001,1,Piston,4,1285,41.55,2779.06,22,Avustralya,239328.61
Airbus A320,1982,2,Turbofan,180,6300,10.41,2019.69,41,Avrupa,83615415.09
Airbus A320,2023,2,Turbofan,180,6300,4.3,4623.18,0,Avrupa,139200030.45
Boeing 737,2016,2,Turbofan,162,5700,9.03,2734.94,7,Asya,105731455.63
Boeing 777,1980,2,Turbofan,396,15600,7.36,4748.92,43,Asya,436421617.47
Airbus A350,2019,2,Turbofan,350,14800,10.76,1946.32,4,Avrupa,696693699.26
Airbus A320,1991,2,Turbofan,180,6300,6.3,3907.23,32,Güney Amerika,78446601.18
Boeing 777,1998,2,Turbofan,396,15600,5.46,2105.61,25,Avrupa,347388187.85
Airbus A320,1999,2,Turbofan,180,6300,8.53,4880.4,24,Afrika,78813600.19
Bombardier CRJ200,1984,2,Turbofan,50,3000,12.33,4727.49,39,Güney Amerika,12539886.52
Cessna 172,2013,1,Piston,4,1285,25.59,4139.11,10,Avrupa,429175.33
Cessna 172,1980,1,Piston,4,1285,43.96,4053.94,43,Avustralya,205311.21
Airbus A350,2001,2,Turbofan,350,14800,13.75,851.2,22,Kuzey Amerika,422778002.72
Boeing 737,2001,2,Turbofan,162,5700,12.64,1340.38,22,Kuzey Amerika,75717866.04
Bombardier CRJ200,2001,2,Turbofan,50,3000,12.62,2968.64,22,Avrupa,13003595.91
Airbus A350,1983,2,Turbofan,350,14800,5.86,4757.54,40,Afrika,463280961.25
Boeing 777,2007,2,Turbofan,396,15600,13.66,1427.0,16,Güney Amerika,564969632.24
Bombardier CRJ200,2018,2,Turbofan,50,3000,9.38,1850.09,5,Güney Amerika,19898392.7
Boeing 737,1992,2,Turbofan,162,5700,7.43,3272.99,31,Güney Amerika,55488041.1
Airbus A320,1987,2,Turbofan,180,6300,7.29,3339.71,36,Asya,63002445.84
Boeing 737,2005,2,Turbofan,162,5700,14.32,936.66,18,Kuzey Amerika,66673433.18
Airbus A320,1993,2,Turbofan,180,6300,4.82,2510.25,30,Avustralya,70871008.82
Airbus A320,1991,2,Turbofan,180,6300,3.93,951.0,32,Afrika,74944153.18
Bombardier CRJ200,1989,2,Turbofan,50,3000,10.11,2389.82,34,Avrupa,11494486.52
Airbus A350,2008,2,Turbofan,350,14800,2.0,3330.0,15,Afrika,515916632.49
Airbus A350,1993,2,Turbofan,350,14800,4.18,3491.6,30,Avrupa,384923183.09
Boeing 737,2006,2,Turbofan,162,5700,4.1,4176.65,17,Avustralya,82862161.43
Cessna 172,1982,1,Piston,4,1285,32.39,3175.39,41,Afrika,169881.26
Airbus A350,1999,2,Turbofan,350,14800,7.48,959.43,24,Avustralya,445523352.07
Airbus A350,1981,2,Turbofan,350,14800,4.6,1002.54,42,Afrika,442698574.61
Boeing 737,1993,2,Turbofan,162,5700,8.35,1636.88,30,Güney Amerika,61612248.18
Boeing 777,1983,2,Turbofan,396,15600,7.71,1067.27,40,Avrupa,465763596.76
Airbus A350,1982,2,Turbofan,350,14800,11.76,1231.85,41,Kuzey Amerika,369842377.79
Cessna 172,2000,1,Piston,4,1285,19.13,3620.36,23,Avrupa,201512.8
Cessna 172,2012,1,Piston,4,1285,32.53,842.14,11,Kuzey Amerika,337359.18
Airbus A320,2020,2,Turbofan,180,6300,6.28,3890.74,3,Kuzey Amerika,138374009.95
Boeing 737,1982,2,Turbofan,162,5700,14.07,2697.57,41,Avustralya,64375685.77
Airbus A350,1999,2,Turbofan,350,14800,11.22,1206.51,24,Avustralya,386883981.08
Boeing 737,1988,2,Turbofan,162,5700,13.34,3436.78,35,Afrika,61790376.71
Boeing 777,1981,2,Turbofan,396,15600,14.13,1094.81,42,Avustralya,378187682.0
Bombardier CRJ200,2007,2,Turbofan,50,3000,13.83,2419.86,16,Afrika,15274277.76
Boeing 777,2012,2,Turbofan,396,15600,9.76,1834.42,11,Avrupa,596374029.32
Airbus A350,2009,2,Turbofan,350,14800,7.01,4303.55,14,Afrika,527117057.3
Airbus A320,2003,2,Turbofan,180,6300,11.56,3620.93,20,Güney Amerika,96598398.12
Boeing 737,2007,2,Turbofan,162,5700,2.35,1732.83,16,Avrupa,82507288.81
Boeing 737,1982,2,Turbofan,162,5700,14.4,4553.39,41,Avrupa,62632251.1
Bombardier CRJ200,2005,2,Turbofan,50,3000,11.45,3809.21,18,Avrupa,15319909.73
Cessna 172,2022,1,Piston,4,1285,32.37,4109.47,1,Kuzey Amerika,416611.96
Bombardier CRJ200,2005,2,Turbofan,50,3000,12.14,3567.32,18,Kuzey Amerika,13788808.77
Airbus A350,1984,2,Turbofan,350,14800,7.9,4077.67,39,Kuzey Amerika,362083998.8
Cessna 172,2008,1,Piston,4,1285,27.51,4221.16,15,Kuzey Amerika,282107.69
Boeing 777,2018,2,Turbofan,396,15600,9.47,3847.65,5,Afrika,680515553.41
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.4,2320.71,6,Avrupa,17927797.43
Boeing 737,2013,2,Turbofan,162,5700,5.8,2201.75,10,Avrupa,104560929.35
Cessna 172,2016,1,Piston,4,1285,30.02,2247.91,7,Avustralya,353608.96
Airbus A350,2016,2,Turbofan,350,14800,5.72,2234.72,7,Güney Amerika,565791859.39
Bombardier CRJ200,1997,2,Turbofan,50,3000,2.96,4993.23,26,Güney Amerika,10783930.22
Boeing 737,1996,2,Turbofan,162,5700,13.88,4277.86,27,Güney Amerika,66439033.55
Bombardier CRJ200,2012,2,Turbofan,50,3000,12.71,2306.65,11,Afrika,17714077.87
Boeing 737,2017,2,Turbofan,162,5700,6.44,1921.45,6,Avustralya,107062896.96
Cessna 172,2000,1,Piston,4,1285,24.92,2288.11,23,Kuzey Amerika,268463.46
Boeing 737,1998,2,Turbofan,162,5700,2.24,1605.11,25,Güney Amerika,59078332.1
Bombardier CRJ200,2022,2,Turbofan,50,3000,7.83,2703.56,1,Avrupa,19902965.92
Airbus A320,2006,2,Turbofan,180,6300,4.25,4449.19,17,Afrika,104051612.34
Boeing 777,1993,2,Turbofan,396,15600,7.82,590.55,30,Avrupa,339697165.53
Airbus A320,1994,2,Turbofan,180,6300,9.58,3414.89,29,Güney Amerika,77775854.35
Boeing 777,2004,2,Turbofan,396,15600,2.9,1693.46,19,Asya,517671261.54
Airbus A320,1986,2,Turbofan,180,6300,5.38,4289.57,37,Avrupa,90062017.79
Bombardier CRJ200,2015,2,Turbofan,50,3000,3.54,3437.88,8,Güney Amerika,22254967.63
Bombardier CRJ200,2014,2,Turbofan,50,3000,6.17,4215.12,9,Avustralya,17246708.74
Boeing 737,2022,2,Turbofan,162,5700,10.81,4094.84,1,Asya,134934043.34
Boeing 777,2019,2,Turbofan,396,15600,10.43,2791.53,4,Kuzey Amerika,706595288.71
Cessna 172,2001,1,Piston,4,1285,28.11,2730.34,22,Avrupa,228116.16
Boeing 777,1981,2,Turbofan,396,15600,13.44,664.83,42,Asya,429198380.02
Bombardier CRJ200,1984,2,Turbofan,50,3000,6.77,4212.61,39,Avrupa,12748904.99
Bombardier CRJ200,2008,2,Turbofan,50,3000,7.51,854.42,15,Afrika,15214347.07
Bombardier CRJ200,1990,2,Turbofan,50,3000,9.77,886.38,33,Avrupa,12164880.54
Airbus A320,2017,2,Turbofan,180,6300,8.33,3529.43,6,Güney Amerika,134159588.62
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.32,1287.53,24,Afrika,12105302.65
Boeing 777,1991,2,Turbofan,396,15600,2.02,3389.94,32,Avustralya,320671454.55
Airbus A320,2001,2,Turbofan,180,6300,11.27,3699.79,22,Afrika,70396151.38
Bombardier CRJ200,2009,2,Turbofan,50,3000,12.2,4290.39,14,Avustralya,16169275.74
Cessna 172,2011,1,Piston,4,1285,24.88,4924.74,12,Asya,294338.34
Cessna 172,2012,1,Piston,4,1285,35.0,2483.93,11,Güney Amerika,253369.42
Airbus A320,1988,2,Turbofan,180,6300,13.26,1265.94,35,Avrupa,85391366.28
Airbus A350,2013,2,Turbofan,350,14800,10.19,511.84,10,Avustralya,602550900.54
Cessna 172,2021,1,Piston,4,1285,30.2,2356.06,2,Afrika,376114.23
Boeing 737,2001,2,Turbofan,162,5700,11.14,1422.05,22,Avustralya,76367363.34
Cessna 172,1998,1,Piston,4,1285,19.35,2846.15,25,Asya,151583.23
Airbus A350,2013,2,Turbofan,350,14800,2.03,3611.5,10,Asya,527279139.64
Airbus A350,1984,2,Turbofan,350,14800,9.87,3140.42,39,Avustralya,390457597.59
Airbus A320,1996,2,Turbofan,180,6300,6.45,2480.85,27,Güney Amerika,80769163.48
Bombardier CRJ200,2003,2,Turbofan,50,3000,6.38,960.44,20,Afrika,13982497.41
Boeing 777,2009,2,Turbofan,396,15600,3.53,1668.39,14,Avustralya,646899074.79
Cessna 172,2018,1,Piston,4,1285,45.1,4330.57,5,Güney Amerika,413109.52
Boeing 777,2005,2,Turbofan,396,15600,4.93,1663.94,18,Asya,436665818.65
Bombardier CRJ200,2000,2,Turbofan,50,3000,9.5,595.44,23,Güney Amerika,12632372.12
Airbus A350,2023,2,Turbofan,350,14800,4.63,3511.23,0,Afrika,695125778.1
Cessna 172,1997,1,Piston,4,1285,21.54,4494.16,26,Güney Amerika,189945.77
Airbus A350,1992,2,Turbofan,350,14800,2.96,1642.12,31,Avustralya,347548436.82
Cessna 172,1995,1,Piston,4,1285,44.38,1826.47,28,Asya,229659.39
Cessna 172,2008,1,Piston,4,1285,28.22,971.87,15,Avrupa,310399.61
Airbus A320,2005,2,Turbofan,180,6300,11.38,1531.65,18,Asya,100088441.77
Boeing 737,2014,2,Turbofan,162,5700,2.52,628.61,9,Asya,103512569.51
Cessna 172,1989,1,Piston,4,1285,21.05,857.82,34,Afrika,196133.51
Boeing 737,2004,2,Turbofan,162,5700,12.03,2322.19,19,Afrika,65966376.63
Airbus A320,1980,2,Turbofan,180,6300,4.05,1136.31,43,Asya,86946098.71
Airbus A350,2000,2,Turbofan,350,14800,13.08,1193.02,23,Kuzey Amerika,479835911.49
Boeing 777,2008,2,Turbofan,396,15600,6.77,1980.77,15,Avustralya,457871347.96
Cessna 172,2006,1,Piston,4,1285,25.55,3008.55,17,Kuzey Amerika,259636.19
Boeing 777,2011,2,Turbofan,396,15600,13.76,1667.46,12,Avustralya,671365421.13
Cessna 172,2005,1,Piston,4,1285,27.41,2062.52,18,Kuzey Amerika,244237.63
Boeing 777,2002,2,Turbofan,396,15600,11.78,1561.75,21,Afrika,461917599.84
Boeing 777,1986,2,Turbofan,396,15600,12.56,2720.11,37,Avrupa,437441312.74
Boeing 777,2010,2,Turbofan,396,15600,10.5,1123.03,13,Afrika,687472568.22
Boeing 777,1980,2,Turbofan,396,15600,9.71,635.46,43,Asya,390974972.73
Boeing 737,2004,2,Turbofan,162,5700,12.93,3005.28,19,Güney Amerika,84677857.68
Airbus A350,2001,2,Turbofan,350,14800,7.31,4492.73,22,Güney Amerika,431754339.05
Airbus A350,2013,2,Turbofan,350,14800,10.19,1118.45,10,Avrupa,536778444.77
Boeing 777,2023,2,Turbofan,396,15600,10.84,621.48,0,Asya,806995730.0
Boeing 777,1984,2,Turbofan,396,15600,9.81,3568.32,39,Afrika,326922205.18
Airbus A350,2002,2,Turbofan,350,14800,13.63,3821.71,21,Kuzey Amerika,432995355.88
Boeing 777,1986,2,Turbofan,396,15600,12.3,3603.21,37,Avrupa,358399204.86
Airbus A320,1996,2,Turbofan,180,6300,9.99,4388.56,27,Kuzey Amerika,70408856.07
Boeing 777,1984,2,Turbofan,396,15600,8.81,1553.73,39,Güney Amerika,355947275.1
Cessna 172,2019,1,Piston,4,1285,11.69,3447.08,4,Afrika,420401.71
Boeing 777,1980,2,Turbofan,396,15600,10.76,1866.61,43,Avrupa,381111307.35
Airbus A320,1992,2,Turbofan,180,6300,10.77,4455.92,31,Güney Amerika,74263574.19
Airbus A350,2014,2,Turbofan,350,14800,4.74,2745.13,9,Afrika,663680213.38
Boeing 737,2012,2,Turbofan,162,5700,8.26,1198.91,11,Avrupa,80635309.85
Boeing 777,2010,2,Turbofan,396,15600,8.2,2340.38,13,Asya,670370787.08
Bombardier CRJ200,1984,2,Turbofan,50,3000,3.52,3451.06,39,Afrika,11645336.33
Boeing 737,1995,2,Turbofan,162,5700,6.08,1835.05,28,Afrika,73044232.38
Airbus A320,1982,2,Turbofan,180,6300,12.27,4655.79,41,Güney Amerika,92533687.23
Boeing 777,1997,2,Turbofan,396,15600,13.59,4355.81,26,Avrupa,374041485.15
Airbus A320,2012,2,Turbofan,180,6300,9.43,1467.56,11,Avustralya,135290582.28
Airbus A350,1983,2,Turbofan,350,14800,7.03,3603.06,40,Avrupa,319194566.72
Boeing 737,2001,2,Turbofan,162,5700,2.32,4292.99,22,Avustralya,87287070.16
Boeing 737,2014,2,Turbofan,162,5700,12.99,1080.56,9,Güney Amerika,98127557.2
Bombardier CRJ200,2014,2,Turbofan,50,3000,6.57,4499.83,9,Avrupa,22933487.76
Boeing 737,2018,2,Turbofan,162,5700,10.25,3352.3,5,Kuzey Amerika,107552443.34
Bombardier CRJ200,1984,2,Turbofan,50,3000,4.38,4622.03,39,Avrupa,11039703.87
Boeing 777,2022,2,Turbofan,396,15600,8.24,1281.09,1,Güney Amerika,797903229.1
Boeing 737,2017,2,Turbofan,162,5700,12.46,2029.02,6,Afrika,102521710.75
Bombardier CRJ200,1984,2,Turbofan,50,3000,7.05,3154.15,39,Güney Amerika,12296416.86
Airbus A350,2018,2,Turbofan,350,14800,11.62,3609.29,5,Afrika,672122232.08
Cessna 172,2011,1,Piston,4,1285,10.85,644.41,12,Avrupa,300079.13
Boeing 777,2001,2,Turbofan,396,15600,6.81,1981.13,22,Avrupa,425262148.56
Cessna 172,1997,1,Piston,4,1285,44.65,3867.27,26,Asya,229960.43
Airbus A320,2003,2,Turbofan,180,6300,11.6,3946.55,20,Afrika,106084343.01
Cessna 172,1997,1,Piston,4,1285,23.43,2640.87,26,Güney Amerika,234314.53
Boeing 737,1999,2,Turbofan,162,5700,9.55,4816.87,24,Kuzey Amerika,58288156.67
Boeing 737,2009,2,Turbofan,162,5700,2.18,4606.37,14,Avrupa,95428887.97
Boeing 777,2004,2,Turbofan,396,15600,14.14,3339.47,19,Avustralya,511181857.06
Airbus A350,1999,2,Turbofan,350,14800,5.13,3154.61,24,Güney Amerika,398234807.65
Boeing 737,2016,2,Turbofan,162,5700,2.94,4579.18,7,Kuzey Amerika,93326617.26
Airbus A350,2020,2,Turbofan,350,14800,12.01,3219.76,3,Avustralya,603336846.34
Airbus A320,2016,2,Turbofan,180,6300,4.58,1392.41,7,Kuzey Amerika,123766047.14
Bombardier CRJ200,1981,2,Turbofan,50,3000,9.94,1088.01,42,Kuzey Amerika,13437225.12
Cessna 172,2020,1,Piston,4,1285,48.12,2895.59,3,Güney Amerika,443774.69
Boeing 737,1988,2,Turbofan,162,5700,14.45,4462.4,35,Avustralya,69408741.15
Airbus A350,1980,2,Turbofan,350,14800,6.42,3932.94,43,Avrupa,362042510.97
Bombardier CRJ200,2019,2,Turbofan,50,3000,10.87,979.67,4,Kuzey Amerika,21289860.01
Boeing 777,1989,2,Turbofan,396,15600,10.84,2751.64,34,Avustralya,368301837.31
Boeing 737,1994,2,Turbofan,162,5700,9.71,4668.02,29,Asya,55747077.63
Boeing 777,2013,2,Turbofan,396,15600,7.69,3592.82,10,Güney Amerika,705883862.3
Airbus A320,2001,2,Turbofan,180,6300,7.1,4356.19,22,Güney Amerika,65851215.05
Boeing 777,2019,2,Turbofan,396,15600,14.4,4150.05,4,Asya,645581967.88
Airbus A350,1992,2,Turbofan,350,14800,8.18,1972.74,31,Kuzey Amerika,394688419.49
Airbus A320,1982,2,Turbofan,180,6300,3.42,2721.65,41,Avrupa,80813216.47
Boeing 737,2016,2,Turbofan,162,5700,9.15,2159.02,7,Avustralya,95250501.81
Airbus A350,2022,2,Turbofan,350,14800,10.94,666.45,1,Afrika,705287595.06
Airbus A350,1998,2,Turbofan,350,14800,13.95,4967.32,25,Güney Amerika,405426412.2
Airbus A350,2009,2,Turbofan,350,14800,10.09,1650.77,14,Kuzey Amerika,561720761.39
Cessna 172,2003,1,Piston,4,1285,38.29,772.72,20,Asya,293935.3
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.81,4747.54,24,Asya,12777006.04
Cessna 172,2007,1,Piston,4,1285,20.79,4069.66,16,Avustralya,307005.25
Boeing 777,2023,2,Turbofan,396,15600,4.05,1286.5,0,Güney Amerika,729830989.94
Bombardier CRJ200,1990,2,Turbofan,50,3000,12.85,2999.6,33,Avrupa,12952589.84
Boeing 737,2012,2,Turbofan,162,5700,9.53,4135.79,11,Güney Amerika,94113920.51
Bombardier CRJ200,1988,2,Turbofan,50,3000,2.53,3409.53,35,Güney Amerika,10428807.7
Boeing 777,2021,2,Turbofan,396,15600,7.07,1175.02,2,Güney Amerika,704915866.02
Airbus A350,2012,2,Turbofan,350,14800,11.48,2097.07,11,Kuzey Amerika,626512083.29
Boeing 737,2016,2,Turbofan,162,5700,2.78,1154.33,7,Afrika,111190058.12
Airbus A320,1995,2,Turbofan,180,6300,2.01,2905.74,28,Avustralya,78602608.49
Airbus A320,1990,2,Turbofan,180,6300,6.71,2696.3,33,Afrika,90006554.65
Boeing 737,2021,2,Turbofan,162,5700,7.6,2187.38,2,Kuzey Amerika,107285741.32
Bombardier CRJ200,2015,2,Turbofan,50,3000,5.57,4004.43,8,Afrika,20320968.06
Bombardier CRJ200,2019,2,Turbofan,50,3000,5.06,940.55,4,Kuzey Amerika,21506399.78
Airbus A320,2009,2,Turbofan,180,6300,6.21,1137.54,14,Afrika,111728216.82
Airbus A350,1998,2,Turbofan,350,14800,12.41,1897.16,25,Güney Amerika,358037171.25
Airbus A320,1986,2,Turbofan,180,6300,10.24,1057.73,37,Afrika,81725704.71
Airbus A320,1980,2,Turbofan,180,6300,14.53,4120.81,43,Afrika,84276952.69
Airbus A350,1991,2,Turbofan,350,14800,10.85,780.29,32,Güney Amerika,392334853.91
Airbus A320,2022,2,Turbofan,180,6300,2.97,1800.22,1,Avustralya,134667896.0
Bombardier CRJ200,1985,2,Turbofan,50,3000,11.64,3816.53,38,Kuzey Amerika,12027583.35
Boeing 737,2013,2,Turbofan,162,5700,6.91,4289.3,10,Asya,120887268.63
Airbus A350,2014,2,Turbofan,350,14800,8.97,2219.18,9,Güney Amerika,591291457.62
Airbus A320,1998,2,Turbofan,180,6300,4.14,2859.19,25,Avrupa,70472004.15
Airbus A350,2003,2,Turbofan,350,14800,10.98,4135.63,20,Kuzey Amerika,537887228.17
Cessna 172,1999,1,Piston,4,1285,29.55,1001.61,24,Afrika,210718.93
Cessna 172,2015,1,Piston,4,1285,18.88,4066.24,8,Güney Amerika,368151.08
Boeing 737,2006,2,Turbofan,162,5700,14.23,2763.88,17,Avrupa,68474069.32
Airbus A320,1988,2,Turbofan,180,6300,3.73,530.58,35,Afrika,91798050.5
Bombardier CRJ200,1989,2,Turbofan,50,3000,8.42,3103.99,34,Avrupa,12862936.85
Bombardier CRJ200,2010,2,Turbofan,50,3000,8.98,1996.17,13,Asya,17495789.28
Airbus A350,2019,2,Turbofan,350,14800,8.86,3059.21,4,Güney Amerika,541936838.58
Cessna 172,1981,1,Piston,4,1285,28.03,4589.44,42,Avrupa,207559.43
Airbus A320,1994,2,Turbofan,180,6300,10.53,2878.02,29,Afrika,95144112.79
Bombardier CRJ200,2016,2,Turbofan,50,3000,13.36,3974.05,7,Asya,21122971.21
Boeing 737,2007,2,Turbofan,162,5700,12.55,2264.99,16,Kuzey Amerika,93367468.36
Boeing 777,2014,2,Turbofan,396,15600,2.26,962.18,9,Avustralya,571780571.71
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.15,930.93,15,Asya,17053699.01
Bombardier CRJ200,2015,2,Turbofan,50,3000,11.57,1924.45,8,Kuzey Amerika,19644800.62
Airbus A350,2008,2,Turbofan,350,14800,4.82,706.62,15,Güney Amerika,430999451.45
Boeing 777,1996,2,Turbofan,396,15600,14.92,1089.49,27,Asya,343617801.31
Bombardier CRJ200,2008,2,Turbofan,50,3000,11.37,1779.98,15,Afrika,17577555.98
Airbus A350,2000,2,Turbofan,350,14800,13.71,2244.91,23,Kuzey Amerika,390248360.84
Airbus A320,2017,2,Turbofan,180,6300,2.11,2038.26,6,Güney Amerika,176039635.1
Boeing 737,2014,2,Turbofan,162,5700,5.05,1039.25,9,Güney Amerika,123828402.35
Cessna 172,2023,1,Piston,4,1285,11.47,4025.73,0,Asya,561279.3
Airbus A350,1993,2,Turbofan,350,14800,2.49,3599.2,30,Afrika,332149098.61
Cessna 172,1984,1,Piston,4,1285,10.12,3135.41,39,Kuzey Amerika,213651.44
Cessna 172,1984,1,Piston,4,1285,15.06,4600.77,39,Kuzey Amerika,176544.89
Airbus A350,2018,2,Turbofan,350,14800,10.7,1261.8,5,Asya,766405340.05
Cessna 172,2017,1,Piston,4,1285,49.47,4988.54,6,Kuzey Amerika,321353.51
Boeing 777,2012,2,Turbofan,396,15600,8.55,2091.71,11,Güney Amerika,486605558.79
Bombardier CRJ200,2020,2,Turbofan,50,3000,14.92,1826.97,3,Afrika,20795587.12
Airbus A320,2005,2,Turbofan,180,6300,7.05,3800.97,18,Güney Amerika,99894744.22
Airbus A320,2012,2,Turbofan,180,6300,5.46,4427.71,11,Kuzey Amerika,138041686.12
Cessna 172,2012,1,Piston,4,1285,19.89,1506.2,11,Afrika,272671.74
Airbus A350,1993,2,Turbofan,350,14800,14.93,1162.04,30,Güney Amerika,384817175.19
Boeing 737,1989,2,Turbofan,162,5700,10.26,4551.95,34,Asya,64823590.54
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.38,4469.01,13,Afrika,21492014.83
Boeing 737,1989,2,Turbofan,162,5700,6.77,1070.6,34,Avrupa,68014198.81
Cessna 172,2005,1,Piston,4,1285,45.01,3466.33,18,Avustralya,271099.26
Boeing 737,1991,2,Turbofan,162,5700,6.03,3909.16,32,Asya,57931177.51
Bombardier CRJ200,2022,2,Turbofan,50,3000,12.48,2336.66,1,Güney Amerika,25146959.67
Boeing 737,2020,2,Turbofan,162,5700,12.73,3253.68,3,Kuzey Amerika,129468337.16
